text,review
  One of the best movies ever made.,5
  Still my favorite movie. The flying monkeys still scare the bejebus out of me. Margaret Hamilton is BRILL.,5
"  Still adore this movie, I dunno how many times I've watched it.",5
  One of the most timeless films ever made. 1001 movies to see before you die.,4
"  Freaky fantasy feature for frivolous fun. If the quirky dwarfs don't get to you, the droning film itself just might. Country bumpkin Dorothy and her weather-beaten house are lifted in a tornado only to land ""over the rainbow"" and right on top of a witch. Enter the ""munchkins"" (dwarves) who advise Dorothy to travel to the county's biggest city with a stupid scarecrow, an effeminate tin-man, and a slobbering lion (her ""friends""). Ba-da-boom, ba-da-bing, Dorothy returns to her home and realizes that everything she could ever want in life is right there on her farm, except for a job, a car, and any opportunity to have something resembling an exciting life. Over-rated film; mostly for kids.",0
  Seen it ????????watch this movie ??,5
"  La película más protegida en la historia del cine...Realmente es necesario sugerir a los niños, jovenes y adultos ver esta película. Es parte de la cultura popular global (o al menos occidental) y a pesar de lo simple de la sinopsis y la divergencia entre el libreto y el libro original del señor Frank Baum, la sensación final es satisfactoria. No has visto cine verdadero si no has visto este filme.Lo más impresionante tanto para la gente que tuvo la bendición de ver la cinta en 1939 o en sus reestrenos como para aquellos que la vimos en DvD, es la transición del color sepia a el Technicolor. Es un momento mágico. La bella actríz Judy Garland es y será siempre Dorothy en la mente de muchos, a pesar de que su carrera tuvo apogeo fruto de otros filmes que protagonizó y que también son de mucho menester el tener que mirarlos, como por ejemplo Meet me in St. Louis. Los demás actores merecen mucho aprecio y si en el pasado no lo tuvieron como quizá hoy se sobrevalora a muchos actores de segunda de cualquier película de Disney, estoy seguro que cualquiera que vea esta película se encariñará con básicamente todo el elenco, incluso con Margaret Hamilton a pesar de su papel antagónico. Dicho aquello, alguien con sentido común puede disfrutar de la talla del elenco de la MGM en esos tiempos.La música del prólogo evoca muchas emociones agradables y la segunda vez que se escucha obligatoriamente eriza la piel. Descrito lo anterior, toda la banda sonora de la película es una obra maestra del cine. Si se comparara Mamma Mía como musical con el Mago de Oz, Mamma Mía es basura maloliente y el Mago de Oz es un mosaico de rubíes.Recomiendo verla en inglés aún si eres hispanohablante.La mejor frase del cine para mí sin duda es ""No place like home"" (No hay lugar como el hogar)La película es tan buena que nadie se atreve a realizar un remake...y así como la cinta original es una de las más protegidas del cine universal, debería de mantenerse el respeto a esta obra y obviar la idea de querer hacer una nueva versión. Existen otras claro pero exploran otros temas de la obra de Frank Baum o bien otros de sus libros del mundo de Oz.",5
"  ""There's no place like home"" - Kids during those era ans well as present deserves such moral to be thought in such be phenomenal way to be carried away through many ages. And I would always say in this flick the COSTUME plays a role of hero and the performance of the entire cast plays a role of HEROINE . I am so amazed with the fact which is undeniably true to admit that costumes can play spectacular role in absence of computer graphics. Each and every character paid just to their role and my special mention to Margaret Hamilton (wicked witch).Innocence of Dorothy had stolen the screen presence many time during the flick. Songs were overwhelming. Over all Mesmerizing picture with hued collections.",4
"  Everything about The Wizard of Oz is a sight to behold; the performances, effects, drama, story... all are of the highest quality of filmmaking and still impress even after nearly 80 years.",5
"  I know this movie was groundbreaking when this first came out, but I find myself bored because the music is too cheery. Too happy. The movie itself is too colorful. I have a bigger issue with Judy Garland's character because she's acting like she's in a melodrama. I actually hate this movie because I'm really bored. It's not engaging enough. I'm bored even writing this review on how much I'm bored even watching the movie.",1
"  Puntaje Original: 7.5Encantadora y divertida, con un icónico uso de la narrativa y el color, para dar un resultado más que maravilloso.",4
"  Overly campy, this film shouldn't be on your watchlist.",0
"  This charming movie is one of the best materpieces ever. With a solid cast, original and creative story, The Wizard of Oz brings to us one of the most original and funny musicals ever.",4
"  One of my all time favorite movies, maybe my all time favorite. Can instantly make me smile even on my worst of days. Just like in the movie itself you are transported to magical place when watching it. Judy Garland is perfect casting, but so many other incredible performances and musical numbers. Have never had the chance to see it on the big screen, would love to able to do that one day.",5
"  The Wizard Of Oz is one of my favourite movies of all time, and 78 years on, it hasn't out dated one bit. I love Judy Garland performance as Dorothy Gale, i love the adventures of the group in OZ, i loved the Wicked Witch, but she used to scare me as a child. Overall The Wizard Of Oz will always be a movie to go down in history",5
  If you don't love this movie your dead inside!,5
  I'm fairly certain this movie sits in its own wing of the Library of Congress under the title of: Greatest Movie ever made and Pinnacle of American Film making.,5
"  The Wizard Of Oz:The Wizard Of Oz's Groundbreaking special effects, classic dialogue, ageless musical numbers and a absolutely beautiful world makes The Wizard Of Oz one of the most influential movies ever made in cinema.",5
  Excellent acting on all levels with the best special effects for the period.,5
"  Why is this movie at 99%? i know its meant for little kids, but there is way better movies like cars, zootopia, finding dory, etc",0
"  This movie is a classic movie for my childhood, but I really love this movie so much",5
"  Great movie, one of my all time favorites, mesmerizing",5
"  Perfect Christmas viewing, fantastic film which i never tire of seeing. Christmas doesn't start till i have watched this.",5
  Not a fan of this movie,1
"  This is the one of my best childhood memories about movies that I'll remember forever.I don't remember when exactly I watch it, but I do remember that time, when I was a child, I imagining myself as Dorothy, in Munchkinland in the Land of Oz, Glinda tells me to follow the yellow brick road to the Emerald City, where the Wizard of Oz might be able to help to get back home. Then on the trip, meets and befriends with a Scarecrow (who wants a brain), a Tin Man (who desires a heart), and a Cowardly Lion (who is in need of courage).Yeah. When I was younger, though I still do this until today, I often used to put myself as a character inside of a story, either in the books or in the movie. Well not all, depends on the character itself. If I can relate to the character, even the slightest, then I do. If I can't, I separate myself from the character and look at it from an outside source, or I'll be the side character (not main character) if I'm more relate to them.I'm pretty sure this ever happened to you too. Am I right? So if you haven't watched this movie, go watch it!! especially for classics movie lovers.P.S: what I do remember too is that I'm freaking happy when I finally found this movie these days. and I'm watching it again and relive my childhood memories all over again.",5
"  Puntaje Original: 7.5Encantadora y divertida, con un icónico uso de la narrativa y el color, para dar un resultado más que maravilloso.",4
"  A timeless classic, the wizard of Oz is a wacky, fun and imaginative adventure that is sure to last for generations to come.",5
  i. like. this. movie,5
  For almost seventy-six years people have gone over the rainbow and been off to see the wizard. No reason to stop now!,5
"  My childhood in a nutshell. The colors, the themes, the hilarious characters, the childlike imagination of the story, what's not to love. It's timeless and beautiful and pretty much the essential film to show a kid.",4
  Why does this exist.,0
"  How Can you not love this movie, Best of all time. Watch it even tho i'm 56 and still love watching it A+++++",5
"  Easy to see why this amazing achievement was rated the #1 fantasy movie of all time. Perfect casting and visuals decades ahead of its time, no movie of any genre has ever pushed the envelope so far in one fell swoop. Pure Magic.",5
  Great film. Complete classic. Never gets old. Timeless music.,5
"  The Wizard of Oz (1939) is as visually exciting and emotionally stirring today as it was when first released. It's the ultimate family film. A wonderful cast and score bring the magical characters and story to life, as the audience is swept away on Dorothy's journey over the rainbow. Every turn on the yellow brick road is packed with creativity and whimsy that plucks at the heartstrings. The cinematography is just perfect. Judy Garland emanates a delightful innocence as Dorothy that perfectly matches the film's tone, and the Wicked Witch of the West is the quintessential fantasy villain. The Wizard of Oz deftly embeds moral messages into its enchanting story, allowing its audience to fully join Dorothy on her journey of awakening. The film is still firmly stamped into contemporary popular culture - the best evidence that it will forever endure the test of time. The Wizard of Oz (1939) is morally, ethically, spiritually, physically, positively, absolutely and reliably wonderful.",5
  My Favorite Film Is 1941's Citizen Kane.,0
"  A visually dazzling ride for its time, this family classic also has enough humor, memorable characters and joyful music to endure the ages, even if its dramatic acting would be considered abysmal today.",4
"  This movie might be creative, but it's not interesting at all, it is made for kids 8 and younger, the plot's cheesy, the acting's cheesy, and yes it was in the 1930's, but that's no excuse for how cheesy this crap is. The only other people who might like are college dropouts, high on cough syrup.",0
"  An enchanting classic fantasy film with strong performances from Judy Garland, Frank Morgan, and Margret Hamilton within a larger cast.",4
  I grew up watching this movie and I love it but I wish it would have been closer to the original story,4
  When I was younger I watched this movie and it was not the best movie I thought it's just to old fashioned movie that's how I felt about it. And why did critics give it 99% I say no,2
"  Greatest movie ever made, there will never be another one like it. Released at perfect time and so innocent yet telling for its day. The end of the depression and loss of innocence going into WWII.",5
"  Timeless classic! The Wizard of Oz has great music, comedy, and storytelling. I also grew up with this movie so the nostalgia comes every time I watch it.",5
"  Oz é um clássico do cinema, quanto a isso não há duvidas, e possui vários motivos para isso, porém como resultado final The Wizard of Oz é pediocre. A fabula criada por L. Frank Baum não evolui como roteiro nas mãos de Noel Langley, Florence Ryerson e Edgar Allan Woolf, apesar da estrutura técnica disposta pela MGM na época o filme parece uma grande loucura com temas infantis.",0
"  A wonderful movie with lovely, iconic visuals.",4
  This is my all time favorite movie. The brilliant works of Judy Garland and Margaret Hamilton are simply brilliant. It is a must see classic.,4
"  Tough to find a film that's more universally recognized and adored than this one, and with good reason. It's charming and quaint, relic of a bygone era where naivete was a-okay and being earnest wasn't seen as a handicap. Loaded with unforgettable lines and classic songs, nothing feels elbowed-in or insignificant, and I say that as a viewer with very little patience for musical interludes. Sometimes it's nice to just climb into that time capsule and relive your own childhood (as I have to think a vast majority of the current population first saw it at that age), but it also serves as an impressive example of thoughtful, creative filmmaking. The famous mid-scene switch from sepia tones to full-blown Technicolor remains especially stunning, a masterful reveal that immediately brings the land of Oz to life with a roar, and the intense, colorful landscapes that light up every scene never let up. A few seams may show here and there, particularly around the matte paintings in recent HD transfers, but in some ways that works to the film's benefit. Clearly, a tremendous amount of love and care went into this one, and that still radiates as warmly today as it did almost eighty years ago. Well-balanced, evenly paced and visually dazzling, it's aged stupendously and stands tall as a cornerstone of family cinema. My kids loved it, though they weren't as petrified of the flying monkeys as I was at their age, and I loved sharing it with them. Surprised to find I still enjoy this as much as I do.",4
  The most iconic film of all time.,5
"  stunning, the best film ever",5
"  Some munchkins were not particularly good actors. ""King of the Forest"" is not particularly catchy. I saw some lip sync issues. Okay, got that out of my system. This is still one of my all time favourite movies. A dazzling landscape that pops out in a uniquely early technicolour fashion (filming in colour with the appropriate colours would likely dazzle less), songs and lines that are short and brisk enough to stick in the memory and still resonate beyond culture beating them to death, acting that brings so much humanity to the fantastical story (especially Judy Garland), and the story. Phew. I do not recommend facing The Wizard of Oz as a direct political allegory; save that for the original book. Still, some comparisons are out there in the open. Look at Scarecrow. He don't know any better than to remain on his farm, but if he had a brain, he would know what to do with it. The Wizard is all bark and no bite, unlike Toto, but under the shroud of his chamber, he can pose as a fearless, uncompromising leader. Dorothy would love to see a world other than what she has known for her life, but she feels beholden to her family and friends, thus feels content in the subpar lifestyle of rural Kansas. Heavy-handed, does this sound? Think again. This film moves quickly and with a hop at every step. The actors are highly committed to their roles. And it's so funny. The Cowardly Lion is perhaps my favourite movie character to impersonate, in how quickly he drops a dime from snarls to weeping. As the story unfolds, you will notice many familiar tropes in storytelling. ""Only bad witches are ugly?"" Eek. And yet, no matter how tired you might have been of them, The Wizard of Oz takes you on such a whimsical, hopeful adventure in hardly any time at all. It is shockingly ageless.",5
"  You can see the template for Star Wars and a hundred other movies in this justly-lauded classic, but even after a million viewings it's the heart and sentiment that catch you, especially knowing that it was released at the beginning of the 2nd World War, when home and family were so important, and courage, heart and thought pre-eminent. A marvellous journey every time.",4
  The widzard of Oz is one hell of movie one hell of a movie !! When doerothy fall down the stairs is the key to the movie !!! But sometimes they don't !! I favorite part is when the witch melt into plastic!!! I don't like the movie !!!,5
  I hated classic old movies when I was a kid. All except this one. The perfect movie.,5
  The tin man is a fag,0
  How could someone not like this classic?,5
"  Sei que se trata de um dos maiores clássicos do cinema e que provavelmente o teria adorado em criança, mas vê-lo pela primeira vez em adulto, especialmente com a enorme expectativa da fama que tem e depois de ter lido o livro, fiquei desapontado. A qualidade, para algo de 1939, é excelente mas não deixa de ser uma história para crianças que, quanto a mim, carece de algum apelo a um público mais maduro como muitos modernos filmes infantis possuem.",2
"  An unforgettable classic, enough said!",5
"  This is a pretty okay movie, but it definitely wasn't the best movie of all time.",2
  One of those movies that everyone loves but nobody remembers.,5
"  Took me a long while to get around to watching it, but now I suddenly get where all sorts of cultural memes come from (Lions! And Tigers! And Bears! Oh my!).Spectacular for the era in which it was made, and it actually aged pretty well too. It's not perfect, having a few things that it never bothers to answer (for instance, what exactly is the Tin Man supposed to be? An automaton? And what about the woman who wants to put Toto down?), and it's obvious that they're trying to stretch the run time sometimes (e.g. all the singing by the Munchkins) but those are minor things and it's actually still enjoyable, and surprisingly not-cheesy, in fact not at all painful in any way really.Moreover, it was actually pretty clever, even if a bit simple. And even if it's not the best thing ever made, the status of a classic is well-earned for all of these reasons.I don't think I can say anything that anyone else hasn't said before, you all know the drill, blah blah classic blah blah watch it if you're a film buff.",4
"  You cannot hate this movie, or else you will not be accepted into society. I loved it so much that I bought the book (The Wonderful Wizard of Oz By L. Frank Baum) and read it millions of times. In fact, I am reading the entire series of the books.",5
"  Clearly one of the greatest film of all time, by any standard. This film has stood the test of time, and is no less fascinating and brilliant today than it was in 1939. This is the gold standard of children's films and has set the barre for the industry to come. Few films have come close to its perfect flow, soundtrack, acting, plot, directing, cinematography and special effects. The story-line is seamlessly tied together. It is incredible that the special effects are still as effective today as they were back in 1939, despite the age of this masterpiece. My young children enjoyed this film just as much as I have over the years.I'm glad Hollywood has not bastardized this film with a ""reboot"" - yet. The world does not need another horrible Tim Burton remake of a classic novel and/or film, as the modern treatment of Alice In Wonderland has demonstrated.Whoever is the 1 ""professional"" critic that posted a negative review of this film is a complete fool. They should be banned from this website and is certainly no professional from my perspective.",5
"  Conceived by MGM as an answer to Walt Disney's Snow White, this sweet and colorful fable full of music and adventure will always be a pleasure to children everywhere due to its relatable characters and universal message, though it may prove a bit slow for adults nowadays.",5
"  The simplistic story and characters can be surprisingly engaging, the songs are very memorable even to this day, the cinematography is really well-executed, and the effects are especially impressive by 1930s standards.",4
  Why not just hit the old woman in the mouth?,4
"  I give it 2 stars because its an iconic movie that broke barriers at the time. Otherwise, there is way too much whining from Dorothy. Shes in a wonderful, colorful land, and all she can do about it is complain about wanting to go home the whole time? It ruins the movie and bastardizes the book.",2
  Have you ever searched long and hard for something dear to you but just couldn't find out where you left it. Well that was the case in this loving American fantasy film. Waking up lost in Munchkin land Dorothy's goal was to return home. Not knowing that along her journey she would meet friends who would become near to her and they would need her help more than anything. Searching for things they already possess they prove to be braver smarter and more caring than they expected.,5
"  Groundbreaking in every single way. From its visuals, songs, to it's storytelling and touching heartfelt message. The Wizard Of Oz is a must see for all ages even if you didn't grow up with it it's still an iconic piece of filmmaking",5
  A classic! A must see for every child and those young at heart.,5
  I've seen it about 30 times. Love it!!!,5
  hi people and my name is lori selligman and i love the wizard of oz i have got a lot of collectibles but i would like too have more oz items from lori seligman,0
  The best movie ever made my favorite sense I first saw it,5
  despite the slightly anti climatic ending there is a reason why the wizard of oz is a classic. a truly magical film.,5
  WHY IS IT SO HARD TO MAKE A SIMPLE LIST ON HERE?>????,0
"  The Wizard of OzThe Wizard of Oz is, simply put, a masterpiece of its age. It is a wonderful kid's movie, but it will also entertain teenagers and grownups, especially cinephiles. With a ton of incredible sceneries, wonderful characters, funny and innovative costumes, and a beautiful plot about not only adventure, but also family and home, it makes a movie anyone can watch and enjoy.The protagonist in The Wizard of Oz is a little girl who is tired of the farm she is living in with her family. The farm looks like a very melancholy and dark place, and it seems as if no one has time for her. She is dreaming of a wonderful place, a happy place where she can be a kid. Shortly after this, she does get what she is wishing for, as she somehow after a storm ends up waking up in a fantasy world full of wonderful creatures and happy colors. She gets greeted as a hero, after unknowingly killing an evil witch during her crash landing into the world. Very soon she realizes how worried her mom must be after losing her daughter, and decides to somehow make it back home. This is how her adventure to meet the great and mystical Wizard of Oz begins. As she is making her way to meet the wizard we get to meet a ton of new, both evil and good, fairytale-like creatures, with very convincing and straight forward character traits. Her adventure gets very suspenseful as she and her newfound friends finally get to meet the highly spoken about Wizard of Oz, it gets unclear if she is actually going to make it home. But in the end they do figure things out, and she does make it back home to her family, where she feels like she actually belongs. A lot of the music we get to hear throughout her adventure are cleverly describing what is happening, and makes the film even more fun to watch. It also serves as some help for the younger audience to keep up with the story.Even though the film is almost 80 years old, the plot has not grown old the slightest, and even though the special effects do not hold up to today's standards (it was made in 1939, so we are going to have to accept it), they are still impressive considering what year the movie was made. As a watcher you look forward to seeing the next scenery, or how the next creature will be and look like. This makes the movie very enjoyable. This also helps with the pacing, as you are always looking forward to the next scene (a lot of older movies tends to be slow paced, and sometimes therefore boring for audience nowadays). The Wizard of Oz catches the essence of adventure, dreams and excitement. It is impossible not to smile as the creatures of this new exciting world sings songs about their newfound hero and what's awaiting her. It was a bliss watching this movie, a timeless classic! As it states in the beginning - ""Time has been powerless to put its kindly philosophy out of fashion""./Leonard",4
"  The Wizard of Oz (1939) C-101m. ???? D: Victor Fleming. Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Terry (Todo). Movie magic as sweet girl (and kawaii dog) are swept away to mystical land of Oz where delight and friendliness at every turn is varnished by an evil witch. With the help of a Scarecrow, a Tin Woodman, and Lion, she can restore Oz to greatness, but she just wants to go back to her family. Super casting, legendary scoring . . . you just can't beat this film! ""Over the Rainbow"" number and Herbert Stothart's soaring music won richly deserved Academy Awards. Based on the L. Frank Baum novels; followed by RETURN TO OZ in 1985. And has there ever been a more winning selection of characters?",5
  All time classic. Good wholesome family movie.,5
  The bad witch is very bad and has very magical powers. I liked the movie because the Winky guards are silly and hilarious. The nice witch is really nice.,5
  This. Is. The. Best. Ever. Movie. To. Watch,0
  A must see fantasy adventure fun for everyone! Judy Garland was a delight!,5
  The film that followed the success of Snow White and the Seven Dwarfs! The Wizard of Oz is fantastic with its unforgettable characters and beautiful visuals.,5
  if you haven't seen it then i feel sorry for you...,5
  The acting was honestly so terrible and it seemed like a character was crying or freaking out every three minutes. I didn't like the music and all the OTHER characters were more loud and obnoxious than whimsical. The plot was weak for most of the movie until the final fight scene between the witch and Dorothy. Was very bored while watching and wanted to turn it off after about 30 minutes to an hour. Will not watch again.,2
"  Wonderful musical numbers, innovative set pieces and a wise and magical narrative makes The Wizard of Oz a classic for all audiences.",5
  This movie should be considered one of the greatest movies of all time. This is a great classic and will be enjoyed by everyone for centuries to come. A+,5
"  Whimsical, fun and colorful.",4
"  Of course it has flaws, it was made 77 years ago! But it is a classic that still bears valuable lessons.",4
  I watch this every few years and find that I enjoy it immensely each time. It's as if it magically grows and changes along with me. . I recommend periodic viewing of it throughout your life.,5
  Classic. Superb acting and makeup for its time.,5
"  A film that will never grow old with time, classic of classics!",4
"  A beautiful, memorable and memorizing masterpiece that has lasted throughout the ages and will continue to do so for generations to come.",5
"  I grew up watching this classic film on TV, and I could never get enough of it. The songs, the characters, and the adventure all work together perfectly. And of course there is a moral at the end and lessons to be learnt along the way. Considered one of the top 10 movies of all time, the top fantasy film of all time, one of the best musicals of all time, and featuring the top movie song of all time ""Over the Rainbow"". It is my favourite film of 1939. AAN 1001.",5
  it was such a high rating and i really really hoped rami would be in this. very disappointed.,0
"  Over-rated by Rotten tomatoes. Nothing was special about this and you give it 9.4/10 no!!!, my score 7/10",2
  One of the most classic amazing movies of all time,4
  one of the best of all time,5
  It won't let me watch full movie,1
"  My dad's grandma always loves this film so do I. Many people around the world consider this one of the greatest musicals in the history of Hollywood. I love this movie as a kid and as I got older I still love it just like the other movies that I really love. The acting is perfect, the cinematography is absolutley brilliant the producers did a fantasic job and the directing is top notch. 100% perfect! The opening is in B&W; and it follows the story of Dorothy played by Judy Garland and Toto. When the tornado flew the house up and when it came down the B&W; is gone so it changed into Colour. The B&W; only began in beginning to end, the colour is in the middle. The quotes are so memorable like ''There's no place like home.'', ''I'll get you, my pretty and your little dog, too!'' and ''Toto, I've a feeling we're not in Kansas anymore.'' The songs are memorable too like Over the Rainbow, DIng-Dong! The Witch is Dead and many more. The Wicked Witch of the West is an evil villian who wants the ruby slippers from Dorothy. This is an absolute masterpiece, an absolute classic! People watched it billions of times and it never gets old. This is a critical acclaim for everyone much like Snow White and the Seven Dwarfs.",5
"  Well, it's one of the greatest family films of all-time, one of the greatest fantasy films of all time, and one of the greatest films in general of all time. Epic storytelling, groundbreaking visuals, and a stellar cast make this the unbeatable American fantasy of the 20th century.",5
"  Revolutionary on a technical standpoint and utterly timeless and endearing, this film will be treasured by children and adults alike for many generations to come.",5
"  An absolute masterpiece whose groundbreaking visuals and deft storytelling are still every bit as resonant, The Wizard of Oz is a must-see film for young and old.",5
"  As canções, hoje, me soam quase insuportáveis, a maioria inclusive fora de propósito. Mas o filme incrivelmente continua exalando a mesma magia de antes.",5
  The classic of all classics. Greatest American fantasy of all time.,5
  As noted by countless others.,5
"  This is no mere family film, but a seminal and transcendent work of art still best experienced on the screen. It is as much a modern myth as Star Wars, Star Trek, The Lord of the Rings, and Harry Potter.",5
  Horrible movie. Terrible acting. Terrible Story. Terrible ending. Terrible music. Critics only like it because it's old.,0
  This is one of the best movies of all time!,4
  Love this classic movie,5
"  I suppose I don't have to tell anyone that ""The Wizard of Oz"" is a good movie. I can certainly say it's a truly great movie ... more so than I remembered. It had been many years since I had bothered to watch the film. It's a film I have generally taken for granted. It's really the pinnacle of studio craft. All of the mighty resources of the Hollywood studio system marshaled to turn out a near perfect bit of family entertainment.",5
  Mnhbbbvvvvvvvvvvffffeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeg8 norZbbhhuuvzvbvvc hghchcfffffv vfaa. -5Â¥|[,2
  This movie was to old Fashioned is what I think but the music was good my favorite song was over the rain bow. I would say this is a Fantasy movie. So if you like fantasy you might like this,2
"  Beautiful, memorable and overall a fun journey! The Wizard of Oz in my opinion is the best family film and is a magically fun time!",6
  You can only love a classic.,4
"  A timeless classic, everyone should see The Wizard of Oz and all of its great characters and music.",4
"  What can i write about The Wizard of Oz, that has never been written before. This movie is almost 80 years old, and it has been loved for each and every year. This is probably the most watched movie of all american cinema. Every kid has at least watched it once, if not more.It has every basic component of a great kids movie, it has memorable songs, a great story line, fun characters, thrilling moments and light hearted moments.As a kid i was terrified by Miss Gulch and The Wicked Witch of the West beautifully portrayed by Margaret Hamilton. Recently i watched this movie again and ±12 years later that caracter still frightened me when she was riding up to the farm, with the suspenseful music in the background and her frown on her face.This was the first cinematic experience of realising movie had color, the beautiful transition from gradient black and white, to the colorful world of Oz is a magnificent cinematic milestone, and probably one of the most awe inspiring scenes in the film.This movie is great, we all know it, and we all love it, and it is still thriving ±80 years upon release.The Wizard of Oz is a childhood masterpiece.",5
  Classical adaptation of the book,4
"  87%Watched this on 21/2/16I never expected that I would like this film and I saw this with a lot of skepticism, but what it did to me was that it invoked a certain kind of nostalgia in me and reminded me of a time where Fantasy genre was my absolute favourite. Apart from some stupid musical numbers, this film did not have much flaws and many songs were after all good, yet redundant. The film has a string of likable characters like the three friends whom Dorothy find in the journey. The acting was genuinely good with Judy Garland as Dorothy standing out as Dorothy. Surprisingly I also found the few wits in this film to be rather sharp and likable rather than being repulsive (which was what I actually expected).",4
  A wonderful kid's movie. See it at the right time and it stays with you. But its artistry doesn't transport me.,0
